feature,mean_abs_shap
Year,0.8624980785535359
TyreLife,0.5289995205110599
Race,0.4074864926681215
te_Compound_x_Stint,0.3892680066011779
LapTime_Delta,0.3737449089684603
tyre_life_normalised,0.35689426077785746
RaceProgress,0.24663025908217787
field_pitrate_this_lap,0.23790469119885368
Position_Change,0.1906375587619753
te_Race_x_Compound,0.14771722407547216
Cumulative_Degradation,0.08938689886974002
Compound,0.0880494509308641
tyre_life_delta_prev,0.08556380345393663
stints_done_so_far,0.08116744595176807
Position,0.07693261647301332
LapNumber,0.0747048747508072
te_Driver_x_Compound,0.0745816558926341
Stint,0.06891490908217449
stint_len_vs_compound_avg,0.06648668538450087
oracle_pit_next,0.05954387315506566
PitStop,0.057777946472315926
LapTime,0.052274661771409825
race_total_laps,0.04806306023362338
frac_laps_left,0.045032622783050945
te_Race,0.04269338499902594
te_Driver_x_Race,0.03993015704833718
race_pits_next_lap,0.038959079850801555
lap_gap_next2,0.03776591767392363
stint_lap_count,0.03689164956941957
laptime_vs_field,0.03631247063787837
tyre_life_delta_next,0.03608594324987886
te_Driver,0.03453056379022074
TyreLife_prev,0.03445254972562142
Driver,0.03110760671961602
LapTime_Delta_prev,0.029579798960928175
frac_same_compound,0.029348015148826886
lap_gap_prev,0.027672799681538417
stint_lap_min,0.025551982582015506
laps_left_in_race,0.024880229798090434
stint_progress,0.024855458389335675
laptime_vs_stint,0.02433061241570614
Stint_next,0.023568846379646725
laptime_diff_prev2,0.022303777662643083
stint_deg_max,0.021876659962696107
lap_gap_next,0.02102715408577978
tyre_left_in_stint,0.020576404032577534
Compound_prev2,0.019394035530152984
mean_position_this_lap,0.018589854736909953
Cumulative_Degradation_prev,0.018504004468798275
LapTime_Delta_next,0.018387569317476326
Stint_prev,0.01784523086489596
n_same_compound_this_lap,0.017617359880473065
deg_pct_of_max,0.01761588694312285
Compound_next,0.017164053085638682
mean_laptime_this_lap,0.017131940032414514
Compound_prev,0.016856554771523497
Compound_next2,0.01650152153770583
TyreLife_next,0.01646764677308562
stint_lap_max,0.016436124839822618
Position_Change_prev,0.015283956713735386
stint_laptime_mean,0.015029639246119612
Cumulative_Degradation_next,0.014806072827858003
laptime_diff_next,0.014740879022782294
n_drivers_this_lap,0.014236049494950758
driver_pits_so_far,0.013852578369284298
Position_Change_next,0.013827906368368914
laptime_vs_recent,0.013275999075053557
LapTime_prev,0.013245759412333965
LapNumber_next2,0.01303469117560491
laptime_diff_prev,0.011940618474511798
LapNumber_prev2,0.011936348067857632
Position_prev,0.011847030724541293
pos_diff_prev,0.011830413891114923
LapNumber_prev,0.011817064271776935
LapTime_next2,0.011687296099070458
laps_left_in_stint,0.011529578153373474
LapTime_prev2,0.011328183842439436
stint_tyre_max,0.010798678003609173
TyreLife_next2,0.01004914225225599
LapNumber_next,0.009899720985779325
laptime_roll3_mean,0.009823447582956293
tyre_life_delta_next2,0.009788714514520479
lap_gap_prev2,0.009425154292485319
LapTime_next,0.008407986471948726
Position_next,0.008143239109131612
PitStop_prev2,0.007879584059509653
compound_typical_max,0.007652371087967366
TyreLife_prev2,0.007304129531258882
pos_diff_next,0.006897977837853369
compound_avg_stint_len,0.005927457255805942
Stint_prev2,0.004086084389919024
Stint_next2,0.003660467955775338
stint_change_prev,0.0036095054503629347
PitStop_prev,0.003594660046816168
PitStop_next,0.0034542431001218033
just_pitted,0.0033801135446314525
PitStop_next2,0.0025550481378661654
stint_change_next2,0.0025134443535323125
compound_change_next2,0.002505358483877935
tyre_life_over_max,0.002483538909490191
stint_change_next,0.002320913654295834
compound_change_next,0.0012507359352765782
is_last_obs_of_stint,0.0009337099597397478
oracle_gap2_pit,0.0004522614640879561
